Wind_[m/s],Pitch_[deg],Rotor_Speed_[rpm],Torque_[MNm],Flapwise_Moment_[MNm],CP_[-],CT_[-],CQ_[-],CFlap_[-],TSR_[-],Aero_Power_[MW],Aero_CP_[-],Tip_Speed_[m/s],R_ref_[m],Power_[MW],Thrust_[MN]
10.20964776,1.610643791,6.284450037,28.6494987,94.52091445,0.44405925080120434,0.7512373866459015,0.050775132381660766,0.1675181822303363,9.09943925315708,18.85440897959788,0.462025233,92.90206958825125,141.16579982068615,18.12124994,3.002711885
10.67345004,2.987707427,6.569939049,30.58678445,94.40954842,0.4332357012224909,0.6873653703808098,0.049599778184783706,0.15309529080483636,9.099439252636662,21.04378138726294,0.45133016899999995,97.12241025503235,141.16579982068615,20.20010629,3.002702072
11.13492728,4.127462022,6.853996906,32.01011711,94.32380835,0.41557132557285537,0.6315736398871014,0.04769447227038577,0.14054069987706633,9.099439253365333,22.975225619425306,0.433992953,101.32159437500047,141.16579982068615,22.0,3.002712263
11.17037214,4.320424869,6.853996906,32.01009188,93.17308982,0.4116275752955667,0.6202853755859353,0.04739223517599328,0.1379465264072646,9.070565698718116,22.9752074770228,0.42987438199999994,101.32159437500047,141.16579982068615,21.99998265,2.967848841
11.6992653,6.331901463,6.853996906,32.01009925,81.70934593,0.35828755072649576,0.5007074154977827,0.04320414319103997,0.11028339068976607,8.660509166759427,22.97521279905624,0.37416987799999996,101.32159437500047,141.16579982068615,21.99998772,2.627944289
12.25890683,7.809273512,6.853996906,32.01012024,73.93814299,0.3114243296502928,0.4174187670056963,0.039349513901896276,0.09089094210367141,8.26514107498119,22.97522789975196,0.325229284,101.32159437500047,141.16579982068615,22.00000215,2.405417197
12.84800295,9.084648077,6.853996906,32.01011741,67.67385167,0.27052091634127223,0.35249662641855223,0.03582379299562364,0.0757364936338926,7.886174588323898,22.975225844132996,0.282512686,101.32159437500047,141.16579982068615,22.0000002,2.231213722
13.46519181,10.24977324,6.853996906,32.00997451,62.30077203,0.23500016179739308,0.30002059354732874,0.03261488073163357,0.06347809644810438,7.52470486902039,22.975123290767137,0.24541735200000003,101.32159437500047,141.16579982068615,21.99990199,2.08588858
14.10904661,11.34504187,6.853996906,32.01024295,57.54193813,0.20427557022175405,0.25685713104746505,0.02970634283836544,0.053400423868816424,7.181321117983072,22.9753159310807,0.21333078700000002,101.32159437500047,141.16579982068615,22.00008648,1.960658316
14.77807889,12.39228265,6.853996906,32.01018186,53.2421605,0.17776844169116718,0.22098022065175774,0.02707744829292825,0.04503760254308461,6.856208789327993,22.97527210403269,0.185648639,101.32159437500047,141.16579982068615,22.0000445,1.850564881
15.470742,13.40421333,6.853996906,32.01015305,49.30682504,0.15494400791505034,0.19095623437040413,0.024707057066450155,0.0380575043838709,6.54923948541062,22.97525146450878,0.16181243400000003,101.32159437500047,141.16579982068615,22.0000247,1.752552679
16.18543466,14.38880542,6.853996906,32.01013898,45.67207398,0.13531156744561193,0.16570237504972815,0.0225732650456833,0.03220753998540108,6.260047783912928,22.97524135277379,0.14130971800000006,101.32159437500047,141.16579982068615,22.00001503,1.664533036
16.92050464,15.35112982,6.853996906,32.01013149,42.29277264,0.1184317072233128,0.14437458764791464,0.020654581048965122,0.027289469290409797,5.98809530393536,22.97523598848021,0.1236816,101.32159437500047,141.16579982068615,22.00000988,1.585011186
17.67425264,16.29447652,6.853996906,32.01012691,39.13531373,0.10391654187153555,0.12629900609347383,0.018930445461789076,0.023144204466253714,5.732722986299945,22.97523269501492,0.10852300000000002,101.32159437500047,141.16579982068615,22.00000673,1.512853945
18.44493615,17.2209336,6.853996906,32.01012386,36.17383918,0.09142739628550359,0.11093046214762349,0.017381553805896465,0.019642458580384128,5.493193012489797,22.97523049293405,0.09548022999999999,101.32159437500047,141.16579982068615,22.00000464,1.447171785
19.23077353,18.13174183,6.853996906,32.01012156,33.3879135,0.08067101638262636,0.09782423004512243,0.015990033418683897,0.016678282575229533,5.268721729624595,22.975228949174696,0.08424703700000001,101.32159437500047,141.16579982068615,22.00000305,1.387250523
20.02994808,19.0275534,6.853996906,32.01011963,30.76097782,0.07139508127937724,0.08661485376144697,0.014739515394490914,0.014164330260813948,5.05850509298976,22.97522753101009,0.074559914,101.32159437500047,141.16579982068615,22.00000173,1.332499257
20.8406123,19.908606,6.853996906,32.0101181,28.27933307,0.06338351487786302,0.07700031029878515,0.013615132823403542,0.012028286640570634,4.861737885455528,22.97522631582527,0.06619320700000002,101.32159437500047,141.16579982068615,22.00000068,1.282414371
21.66089211,20.77475332,6.853996906,32.01069329,25.93224782,0.056452935335508735,0.06873117648122228,0.012603697081461376,0.010210406666411416,4.677627950892392,22.9756392760137,0.058955406,101.32159437500047,141.16579982068615,22.000396,1.236577694
22.4888912,21.62589302,6.853996906,32.0099624,23.7080352,0.050443068790181504,0.06159549139239609,0.011692426059713074,0.008659942961915973,4.505406401494818,22.975114488942072,0.052679131,101.32159437500047,141.16579982068615,21.99989367,1.194537981
23.32269542,22.4613753,6.853996906,32.0101187,21.60052832,0.04522426614396331,0.05542403780724392,0.010871397064747473,0.007336052776806563,4.344334672746006,22.97522666640971,0.047228987,101.32159437500047,141.16579982068615,22.00000109,1.156033969
24.1603772,23.28083509,6.853996906,32.01012122,19.60082214,0.04068147149535969,0.05006993890858384,0.01013060665120616,0.006203294819656198,4.193709126983352,22.975228806897974,0.042484818,101.32159437500047,141.16579982068615,22.00000282,1.120725966
25.0,24.08369496,6.853996906,32.01012484,17.70226862,0.036718743183520086,0.045412126082916324,0.009461563435863522,0.005232442495742113,4.052863775000019,22.97523135263961,0.038346428,101.32159437500047,141.16579982068615,22.00000531,1.088345546
